Topic_code,Topic_desc,DataSet_code,DataSet_desc,Country_code,Country_desc,Flow_code,Flow_desc,Indicator_code,Indicator_desc,Partner_Country_code,Partner_Country_desc,Unit_code,Unit_desc,Year,Value,Value_Flag,Notes_Export
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2014,167276000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2015,195723000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2016,137159000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1980,641347322,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1981,1019958380,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1982,796620617,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1983,576727692,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1984,470966969,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1985,654508035,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1986,913675846,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1987,826496204,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1988,974319848,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1989,1367431200,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1990,1514154208,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1991,1507861184,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1992,1683367744,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1993,2387174080,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1994,3402536384,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1995,5229527296,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1996,6055589888,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1997,7000652160,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1998,6207249792,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,1999,5922284230,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2000,7601361187,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,M,Imports,MAMTOF,Office and telecom equipment,WL,World,UC,US dollar at current prices,2001,6955664225,,Method of valuation: 2000 onwards: Imports are valued f.o.b.
